Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Siwa_PCB_1\Project Outputs for Siwa_PCB\Pick Place\Pick Place for Siwa_PCB.txt

========================================================================================================================
File Design Information:

Date:       08/05/26
Time:       23:53
Revision:   7b7c64ff53730a8c8d6ee7f49360522a8394e69e
Variant:    No variations
Units used: mm

Designator        Comment            Layer    Footprint                  Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                         
GPIO_BUFFER2      74LVC2G17GW_125    TopLayer SOT65P210X110-6N           70.9500      12.4500      270      "NXP 74LVC2G17GW,125, Dual Non-Inverting Schmitt Trigger Single Ended Buffer, 1.65  5.5 V, 6-Pin SC-88"                                             
1.0_V_REGULATOR   TPS71710DCKT       TopLayer DCK0005A_M                 23.4000      44.1000      0        "Single Output High PSRR LDO, 150 mA, Fixed 1 V Output, 2.5 to 6.5 V Input, with Low IQ, 5-pin SC70 (DCK), -40 to 85 degC, Green (RoHS & no Sb/Br)" 
RESET_BUFFER      74LVC2G17GW_125    TopLayer SOT65P210X110-6N           46.3500      13.5000      180      "NXP 74LVC2G17GW,125, Dual Non-Inverting Schmitt Trigger Single Ended Buffer, 1.65  5.5 V, 6-Pin SC-88"                                             
CLK_BUFFER        PL133-37TI         TopLayer FP-SOT23-6LD-PL-1-MFG      15.3000      79.8000      90       "PL133-37TI LVCMOS Sine Wave PL133 SOT-23-6 R-PDSO-G6 clock driver 0.95mm 1.62V~3.63V 150MHz -40C~85C"                                              
Power_header      61200821621        TopLayer 61200821621                15.1700      59.1100      270      "Wr-bhd; 2.54MM Pitch 8 Way 2 Row Shrouded Straight Pcb Header, Surface Mount"                                                                      
GPIO_BUFFER_LED_1 74LVC2G17GW_125    TopLayer SOT65P210X110-6N           92.9000      78.3000      90       "NXP 74LVC2G17GW,125, Dual Non-Inverting Schmitt Trigger Single Ended Buffer, 1.65  5.5 V, 6-Pin SC-88"                                             
GPIO_BUFFER_LED_2 74LVC2G17GW_125    TopLayer SOT65P210X110-6N           88.6750      76.5000      90       "NXP 74LVC2G17GW,125, Dual Non-Inverting Schmitt Trigger Single Ended Buffer, 1.65  5.5 V, 6-Pin SC-88"                                             
LS_2              TCA9406DCUR        TopLayer FP-DCU0008A-IPC_B          77.5000      19.8000      180      "IC TRNSLTR BIDIRECTIONAL US8"                                                                                                                      
LS_1              TCA9406DCUR        TopLayer FP-DCU0008A-IPC_B          72.8000      28.6000      180      "IC TRNSLTR BIDIRECTIONAL US8"                                                                                                                      
GPIOS_DISPLAY     61200821621        TopLayer 61200821621                105.1000     42.1100      90       "Wr-bhd; 2.54MM Pitch 8 Way 2 Row Shrouded Straight Pcb Header, Surface Mount"                                                                      
LS_OUT_1          61200821621        TopLayer 61200821621                88.9700      21.0700      90       "Wr-bhd; 2.54MM Pitch 8 Way 2 Row Shrouded Straight Pcb Header, Surface Mount"                                                                      
LS_OUT_2          61200821621        TopLayer 61200821621                88.9300      42.1100      90       "Wr-bhd; 2.54MM Pitch 8 Way 2 Row Shrouded Straight Pcb Header, Surface Mount"                                                                      
